Company name,Notes,Status,Last modified,Where to apply,Industry,Location,Founded Date,Founders,Funding Status,Last Funding Type,Number of Employees,Revenue Range,Hug Tags,Ipo Status,Company Type,Number of Acquisitions,Total Funding,Headquarters Location,Headquarters Regions
Codegram,"Hiring senior backend & full-stack developers
",Hiring,2020-04-03T21:17:41.000Z,,,,,,,,,,,,,,,,
CodePath.org,"Hiring Full Time, Part-time, Remote workers
",Hiring,2020-04-10T15:58:29.000Z,,,,,,,,,,,,,,,,
Codepolitan,"
",Hiring  freeze,2020-04-08T23:48:04.000Z,,,,,,,,,,,,,,,,
CoderPad,"Sr. Frontend Engineer, Customer Success Lead, Controller 
",Hiring,2020-04-07T18:54:33.000Z,,,,,,,,,,,,,,,,
Codethink Limited,"
",Hiring,2020-04-04T21:09:33.000Z,,,,,,,,,,,,,,,,
CodeWave,"
",Hiring,2020-03-31T22:30:44.000Z,https://www.codewave.com/careers,,,,,,,,,,,,,,,
Codiwork,"https://angel.co/company/codiwork/jobs/764407-product-designer-ui-ux
",Hiring,2020-04-08T13:04:45.000Z,,,,,,,,,,,,,,,,
Codurance,"Barcelona office still actively recruiting Full Stack and Back End engineers
",Hiring,2020-04-01T05:12:32.000Z,,,,,,,,,,,,,,,,
Coffee Meets Bagel,"Recruiting, some recruiters laid off
","Offers rescinded,Hiring  freeze",2020-04-08T13:03:20.000Z,https://coffeemeetsbagel.com/jobs/,,,,,,,,,,,,,,,
Coffeebeans,"
",Hiring,2020-04-08T13:03:37.000Z,,,,,,,,,,,,,,,,
Cogito,"30 total people across sales, engineering, customer success, and talent acquisition.
","Hiring  freeze,Layoffs",2020-03-30T18:28:20.000Z,,,,,,,,,,,,,,,,
Cogito Corporation,"
",Layoffs,2020-04-01T05:13:09.000Z,,,,,,,,,,,,,,,,
Cognex,"
",Hiring  freeze,2020-04-10T15:58:50.000Z,,,,,,,,,,,,,,,,
cognito,"
",Hiring,2020-04-04T13:42:05.000Z,,,,,,,,,,,,,,,,
Cognizant,"10 reports of freeze, 8 of hiring, 3 claims of layoffs
",Hiring  freeze,2020-04-10T20:21:34.000Z,,,,,,,,,,,,,,,,
Cogo Labs,"
",Hiring,2020-04-04T14:35:20.000Z,,,,,,,,,,,,,,,,
CoGrammar,"
",Hiring  freeze,2020-04-01T05:14:14.000Z,,,,,,,,,,,,,,,,
Cohesity,,"Hiring  freeze,Hiring",2020-04-09T17:55:10.000Z,,,,,,,,,,,,,,,,
Coinbase,"Still hiring
",Hiring,2020-03-30T06:11:44.000Z,https://www.coinbase.com/careers,,,,,,,,,,,,,,,
CoinDCX,"Check coindcx.recruitee.com for details
",Hiring,2020-04-09T22:19:48.000Z,coindcx.recruitee.com,,,,,,,,,,,,,,,
Coinsquare,"
",Layoffs,2020-04-01T05:14:25.000Z,,,,,,,,,,,,,,,,
cojean,"
",Hiring  freeze,2020-03-31T18:04:51.000Z,,,,,,,,,,,,,,,,
Colaberry,,Hiring,2020-03-29T01:41:00.000Z,,,,,,,,,,,,,,,,
ColdQuanta,"
",Hiring,2020-04-07T19:56:09.000Z,,,,,,,,,,,,,,,,
Coleman Research,"
",Hiring,2020-04-01T05:14:38.000Z,,,,,,,,,,,,,,,,
Colgate,"
",Hiring  freeze,2020-04-04T18:19:42.000Z,,,,,,,,,,,,,,,,
Collabera,"
",Hiring,2020-04-08T13:02:59.000Z,,,,,,,,,,,,,,,,
Collective Health,"
",Hiring,2020-04-06T16:49:28.000Z,https://grnh.se/7d01dd411us,,,,,,,,,,,,,,,
College Board,"Across the company for 90 days both fulltime and freelance, certain roles may get exceptions made
",Hiring  freeze,2020-04-02T12:57:45.000Z,,,,,,,,,,,,,,,,
Collibra,"All teams: sales, product, engineering, customer success, finance, people, security and compliance 
",Hiring,2020-04-06T20:46:07.000Z,,,,,,,,,,,,,,,,
Colliers International,"2 reports of hiring. 1 report of hiring freeze.
","Hiring,Hiring  freeze",2020-04-07T17:09:35.000Z,,,,,,,,,,,,,,,,
Collins Aerospace,"At least interns, potentially full time as well. Another report says the hiring freeze is on all levels.","Hiring  freeze,Hiring",2020-04-10T16:00:46.000Z,,,,,,,,,,,,,,,,
Colonial Pipeline,"https://www.colpipe.com/careers
",Hiring,2020-04-10T16:01:11.000Z,,,,,,,,,,,,,,,,
color genomics,"
",Hiring,2020-04-01T05:15:35.000Z,,,,,,,,,,,,,,,,
Colorado Springs Utilities,"Need to add ""Utilities"" as an industry type, most of us are still hiring
",Hiring,2020-04-04T16:33:59.000Z,,,,,,,,,,,,,,,,
ColorTokens,,Hiring,2020-03-28T15:40:33.000Z,https://colortokens.com/careers/,,,,,,,,,,,,,,,
Colt Technology Services,"
",Hiring,2020-04-08T13:02:38.000Z,,,,,,,,,,,,,,,,
Columbia,"
",Hiring,2020-04-01T05:15:42.000Z,,,,,,,,,,,,,,,,
Columbia Bank,"
",Hiring  freeze,2020-04-06T22:48:34.000Z,,,,,,,,,,,,,,,,
Columbia Threadneedle Investments,"All
",Hiring  freeze,2020-04-06T20:49:55.000Z,,,,,,,,,,,,,,,,
Columbia University,"Special exemptions can be made for certain cases.
",Hiring  freeze,2020-04-05T14:30:37.000Z,,,,,,,,,,,,,,,,
coMakeIT,"Hiring for all the roles 
",Hiring,2020-04-01T05:16:10.000Z,,,,,,,,,,,,,,,,
Comcast,"Multiple reports of continued hiring, a hiring freeze, and claims of furloughs. Details below:
Hiring:","Hiring  freeze,Hiring",2020-04-06T18:18:33.000Z,https://jobs.comcast.com/,,,,,,,,,,,,,,,
Comerica,"
",Hiring,2020-04-05T16:14:19.000Z,,,,,,,,,,,,,,,,
Command Prompt Inc.,"Intermediate Postgres DBA/SysAdmin (U.S. - Remote)
",Hiring,2020-04-01T05:16:56.000Z,,,,,,,,,,,,,,,,
Commencis,"
",Hiring,2020-04-01T05:17:09.000Z,,,,,,,,,,,,,,,,
CommentSold,"Hiring ASAP for roles across all teams
",Hiring,2020-04-01T05:17:29.000Z,,,,,,,,,,,,,,,,
Commerical Observer,"Paused for a month- confirmed by user with a recruiter email
",Hiring  freeze,2020-03-29T16:33:37.000Z,,,,,,,,,,,,,,,,
Commins,"
",Hiring,2020-04-06T17:15:50.000Z,,,,,,,,,,,,,,,,
Common Living,"
",Layoffs,2020-04-01T05:17:34.000Z,,,,,,,,,,,,,,,,
CommonStock,"Backend Devs (Python), UI/UX Designers, Web Devs (React), iOS Devs (Swift)
",Hiring,2020-04-06T21:03:32.000Z,,,,,,,,,,,,,,,,
Commonwealth bank of Australia ,"
",Hiring,2020-04-03T21:13:43.000Z,,,,,,,,,,,,,,,,
Commscope,"Software engineers across the board
",Hiring,2020-04-01T05:17:55.000Z,,,,,,,,,,,,,,,,
Commscope Network,"
",Hiring,2020-04-06T23:16:06.000Z,,,,,,,,,,,,,,,,
community  health systems,"
",Hiring,2020-04-10T16:01:39.000Z,,,,,,,,,,,,,,,,
Commure,"
",Hiring,2020-04-01T05:18:40.000Z,,,,,,,,,,,,,,,,
Commvault,"Hiring freeze with 10% cut in base pay of existing employees, no layoffs, Will not renege summer Interns who have signed offers, will not extend new offers for interns
",Hiring  freeze,2020-04-08T13:02:06.000Z,,,,,,,,,,,,,,,,
Compass,Engineers are being laid off,"Layoffs,Hiring  freeze,Offers rescinded,Hiring",2020-04-05T16:49:20.000Z,https://www.compass.com/careers/jobs,,,,,,,,,,,,,,,
Compass Group,"Many Application support teams were laid off, except for bare minimum staff to support them. Pay cuts for every one - 10% for salaries upto 60K, 40% pay cut for salaries more than 60K, starting April 15th. 

",Layoffs,2020-04-08T12:50:46.000Z,https://www.compass-usa.com/,,,,,,,,,,,,,,,
Complex,"All departments
","Layoffs,Hiring  freeze",2020-04-09T16:43:06.000Z,,,,,,,,,,,,,,,,
ComplyAdvantage,"
",Hiring  freeze,2020-04-07T22:17:54.000Z,,,,,,,,,,,,,,,,
ComplySci,"
",Hiring  freeze,2020-04-01T05:21:19.000Z,,,,,,,,,,,,,,,,
Comporium,"
",Hiring,2020-04-07T19:37:21.000Z,,,,,,,,,,,,,,,,
Compu Group medical,"
",Hiring,2020-04-01T05:21:24.000Z,,,,,,,,,,,,,,,,
CompuCom,"Heavily Hiring due to increased demand
",Hiring,2020-04-01T05:21:29.000Z,,,,,,,,,,,,,,,,
Compumedics,"
",Layoffs,2020-04-01T05:21:35.000Z,,,,,,,,,,,,,,,,
Computer Enterprises Inc,"15 laid off 3/27
",Layoffs,2020-04-01T05:21:55.000Z,,,,,,,,,,,,,,,,
Comscore,"
",Hiring  freeze,2020-04-10T16:03:45.000Z,,,,,,,,,,,,,,,,
ConAgra,"
",Hiring,2020-04-07T20:12:52.000Z,,,,,,,,,,,,,,,,
Concora,"They laid off their entire engineering team, the majority of their Product team and some customer success team member and some marketing team member - about 11 people out of a 20-ish people shop. Only about 5 people are left in their main Atlanta office now. 
",Layoffs,2020-03-30T04:36:53.000Z,,,,,,,,,,,,,,,,
Concord,"Al customer facing
",Layoffs,2020-04-07T02:51:00.000Z,,,,,,,,,,,,,,,,
Concord ,"Hiring currently but only for our VP of Marketing & VP of Finance roles. 
",Hiring,2020-04-01T05:22:18.000Z,,,,,,,,,,,,,,,,
Concur,"
",Hiring,2020-04-01T05:22:07.000Z,,,,,,,,,,,,,,,,
Condé Nast,,Hiring  freeze,2020-03-29T11:17:30.000Z,,,,,,,,,,,,,,,,
Condor Records Inc.,"Looking for licensing deals
",Hiring  freeze,2020-04-03T20:57:29.000Z,,,,,,,,,,,,,,,,
Conductor,"
",Hiring,2020-04-01T05:22:38.000Z,,,,,,,,,,,,,,,,
Conduent,"Hiring freeze for non-billable roles (e.g. Human Resources)
","Hiring  freeze,Hiring",2020-04-07T16:14:04.000Z,,,,,,,,,,,,,,,,
Confluent,"Hiring across company roles
",Hiring,2020-03-29T01:45:08.000Z,https://www.confluent.io/careers/,,,,,,,,,,,,,,,
CONMED,"
",Hiring  freeze,2020-04-01T05:23:04.000Z,,,,,,,,,,,,,,,,
Connatix,"
",Hiring,2020-04-05T14:58:32.000Z,,,,,,,,,,,,,,,,
connectiverx,"
",Hiring,2020-04-01T05:23:23.000Z,,,,,,,,,,,,,,,,
ConnectWise,"All teams
",Hiring  freeze,2020-04-04T17:59:22.000Z,,,,,,,,,,,,,,,,
Connexta,"
",Hiring  freeze,2020-04-02T23:46:32.000Z,,,,,,,,,,,,,,,,
ConocoPhillips,"
",Hiring,2020-04-04T18:01:21.000Z,,,,,,,,,,,,,,,,
ConsenSys,,Hiring  freeze,2020-04-08T21:24:07.000Z,https://consensys.net/careers/,,,,,,,,,,,,,,,
Conservation International,"
",Hiring  freeze,2020-04-03T18:23:47.000Z,,,,,,,,,,,,,,,,
Consights Tech,"
",Hiring  freeze,2020-04-10T16:04:21.000Z,,,,,,,,,,,,,,,,
consilio,"
",Hiring,2020-04-03T16:20:15.000Z,,,,,,,,,,,,,,,,
Consilium,"
",Hiring  freeze,2020-04-03T20:25:35.000Z,,,,,,,,,,,,,,,,
Constant Analytics,"Analytics consultants
2 reports
","Hiring  freeze,Layoffs",2020-03-29T10:29:36.000Z,,,,,,,,,,,,,,,,
Constellation,"
",Hiring,2020-04-07T19:06:23.000Z,,,,,,,,,,,,,,,,
Construct,"Actively hiring 
",Hiring,2020-04-08T13:00:27.000Z,,,,,,,,,,,,,,,,
Construction company,"Project manager
",Hiring,2020-04-02T18:00:25.000Z,,,,,,,,,,,,,,,,
consulting,"
",Hiring  freeze,2020-04-07T21:09:17.000Z,,,,,,,,,,,,,,,,
Consulting & Services,"Java
",Hiring,2020-04-09T00:51:01.000Z,,,,,,,,,,,,,,,,
Consumer Cellular,"Customer support, warehouse
",Hiring,2020-04-03T20:08:15.000Z,,,,,,,,,,,,,,,,
Consumer Reports,"
",Hiring  freeze,2020-04-08T13:00:09.000Z,,,,,,,,,,,,,,,,
Consumer Services,"
",Hiring,2020-04-08T12:59:49.000Z,,,,,,,,,,,,,,,,
Consumer Track Inc,"Currently hiring ad operations, data scientist, sales, analyst, soft engineers, and product managers. Designers (on freeze) 
",Hiring,2020-04-06T20:59:13.000Z,,,,,,,,,,,,,,,,
ContactMonkey,"
",Hiring  freeze,2020-04-01T19:20:00.000Z,,,,,,,,,,,,,,,,
Container Solutions,"all
",Hiring  freeze,2020-04-03T20:16:32.000Z,,,,,,,,,,,,,,,,
Container Store ,"
",Hiring  freeze,2020-04-04T18:05:55.000Z,,,,,,,,,,,,,,,,
Contentful,"Hiring aggressively in New York, Chicago, Atlanta and Berlin. 
",Hiring,2020-04-01T20:46:46.000Z,https://www.contentful.com/careers/,,,,,,,,,,,,,,,
Contently,"
",Hiring,2020-04-03T18:10:56.000Z,,,,,,,,,,,,,,,,
Continental ,"
",Hiring,2020-04-08T00:00:56.000Z,,,,,,,,,,,,,,,,
Contino,"Sales, DevOps Engineers, Principal Engineers 
",Hiring,2020-04-03T16:30:24.000Z,,,,,,,,,,,,,,,,
Continuum,"
",Hiring  freeze,2020-04-05T12:43:28.000Z,,,,,,,,,,,,,,,,
Contract and procurement companies,"
",Hiring,2020-04-09T23:54:17.000Z,,,,,,,,,,,,,,,,
Control Risks,"
",Hiring,2020-04-04T14:59:59.000Z,,,,,,,,,,,,,,,,
Controlcase,"
",Hiring  freeze,2020-04-03T23:31:41.000Z,,,,,,,,,,,,,,,,
Convene,https://www.businessinsider.com/convene-furloughs-half-of-remaining-employees-after-layoffs-last-week-2020-3,Layoffs,2020-03-29T19:01:48.000Z,,,,,,,,,,,,,,,,
Convercent,"1 report of a hiring freeze specifying reduction in pay for all employees.
","Hiring,Hiring  freeze",2020-04-06T19:40:31.000Z,,,,,,,,,,,,,,,,
Converse,"
",Hiring  freeze,2020-04-05T13:07:36.000Z,,,,,,,,,,,,,,,,
Conversica,Laid off 100 people. Went from 230 headcount to 130 headcount. All experience levels.,Layoffs,2020-04-08T12:53:54.000Z,,,,,,,,,,,,,,,,
Convert,"Currently hiring 2 roles to join the Marketing circle and continuing to accept proposals from applicants for future roles
",Hiring,2020-04-02T23:44:23.000Z,,,,,,,,,,,,,,,,
Conviva,,Hiring  freeze,2020-03-28T21:50:55.000Z,https://www.conviva.com/careers/,,,,,,,,,,,,,,,
Convivio,"https://jobs.weareconvivio.com/jobs/838948-delivery-manager
",Hiring,2020-04-08T12:53:34.000Z,,,,,,,,,,,,,,,,
Convoy,"4 reports of freeze with one submitter's interview cancelled. Hiring is slowing down significantly. 
","Hiring  freeze,Hiring",2020-04-04T14:09:34.000Z,https://jobs.lever.co/convoy,,,,,,,,,,,,,,,
Cookpad,"No plans to stop hiring
",Hiring,2020-04-08T12:53:17.000Z,,,,,,,,,,,,,,,,
COOP Careers,"for a Director of People: http://coopcareers.org/people-director, Manager roles on site are only for Alumni of program but Director of People is fair game for any applicant.
",Hiring,2020-04-08T12:53:00.000Z,,,,,,,,,,,,,,,,
Cooper Tires & Rubber Company,"
",Hiring,2020-04-04T21:24:39.000Z,,,,,,,,,,,,,,,,
coopersurgical,"
",Hiring,2020-04-08T12:52:43.000Z,,,,,,,,,,,,,,,,
"Coordinated Care Services, Inc.","Currently hiring, but can change. Will update!
",Hiring,2020-04-04T21:25:06.000Z,,,,,,,,,,,,,,,,
Copado ,"Account Executive for Salesforce - San Francisco & Chicago - 
",Hiring,2020-04-03T18:42:50.000Z,,,,,,,,,,,,,,,,
CoPilot,,Hiring  freeze,2020-03-28T15:26:04.000Z,http://www.cmcopilot.com/careers,,,,,,,,,,,,,,,
Copper,"Laid off 34 people mostly across the board, not a specific team- multiple reports
",Layoffs,2020-04-10T16:10:26.000Z,,,,,,,,,,,,,,,,
Copper CRM,"3 reports of a hiring freeze and 1 report of hiring. 
","Hiring  freeze,Hiring",2020-04-08T17:09:30.000Z,https://jobs.lever.co/copper,,,,,,,,,,,,,,,
Copperleaf,"
",Hiring  freeze,2020-04-04T18:10:24.000Z,,,,,,,,,,,,,,,,
CopperTree Analytics,"for 2 months
",Hiring  freeze,2020-04-02T17:02:30.000Z,,,,,,,,,,,,,,,,
Copypress,"
",Hiring  freeze,2020-04-02T21:31:00.000Z,,,,,,,,,,,,,,,,
Corcept Therapeutics,"Hiring for all roles
",Hiring,2020-04-07T23:21:14.000Z,,,,,,,,,,,,,,,,
Cordant Health Solutions ,"
",Hiring,2020-04-01T16:34:29.000Z,,,,,,,,,,,,,,,,
Corden Pharma,"Analytical Chemists, QA positions, Supply & Logistics, Materials Specialist
",Hiring,2020-04-08T12:52:22.000Z,,,,,,,,,,,,,,,,
Core-Mark,"
",Hiring  freeze,2020-04-07T23:49:10.000Z,,,,,,,,,,,,,,,,
CoreCivic,"Hiring on all  cylinders need Frontline and medical staff 
",Hiring,2020-04-03T23:34:23.000Z,,,,,,,,,,,,,,,,
Corelogic,"All roles
",Hiring,2020-04-01T21:11:45.000Z,,,,,,,,,,,,,,,,
CorePower ,"CorePower laid off employees yesterday company wide, are freezing hiring



",Layoffs,2020-03-28T23:53:57.000Z,,,,,,,,,,,,,,,,
Corgan,"
",Hiring,2020-04-08T12:52:03.000Z,,,,,,,,,,,,,,,,
Corizon Health,"Nurse, Physician, Dentist, NP, Social Worker, Healthcare Administrator, Medical Assistant, Pharmacy Technician
",Hiring,2020-04-04T16:35:30.000Z,,,,,,,,,,,,,,,,
Cornell University,"Freeze accross the board
",Hiring  freeze,2020-03-31T02:47:31.000Z,,,,,,,,,,,,,,,,
Cornerstone Ondeman,"
",Hiring,2020-04-02T20:47:27.000Z,https://www.cornerstoneondemand.com/careers,,,,,,,,,,,,,,,
Cornerstone Search,"
",Hiring,2020-03-31T22:53:52.000Z,https://cornerstonesearch.com/jobs/,,,,,,,,,,,,,,,
Corning Inc.,"Conflicting reports of hiring, layoffs, and a hiring freeze. See below:
Layoffs:","Layoffs,Hiring  freeze,Hiring",2020-04-04T18:14:16.000Z,,,,,,,,,,,,,,,,
Corsair,"
",Hiring  freeze,2020-04-10T16:10:54.000Z,,,,,,,,,,,,,,,,
corsec,"
",Hiring,2020-04-04T18:16:42.000Z,,,,,,,,,,,,,,,,
Cortex Law Group,"We're hiring for various roles - see https://www.cortexlaw.com/current-positions
",Hiring,2020-04-07T19:11:23.000Z,https://www.cortexlaw.com/current-positions,,,,,,,,,,,,,,,
Cortx,,Hiring,2020-03-29T10:43:46.000Z,https://cortx.com/careers/,,,,,,,,,,,,,,,
corus international,"
",Hiring,2020-04-08T12:51:36.000Z,,,,,,,,,,,,,,,,
corva ai,"
",Hiring  freeze,2020-04-04T18:51:58.000Z,,,,,,,,,,,,,,,,
Corvus Robotics,"We're hiring CV/ML/semantic segmentation; UAV/vehicle controls/planning; and VIO/VO engineers.
",Hiring,2020-04-02T22:09:21.000Z,,,,,,,,,,,,,,,,
Cosa xentaur,"
",Hiring,2020-04-04T16:20:37.000Z,,,,,,,,,,,,,,,,
CoStar Group,"
",Hiring  freeze,2020-04-03T21:52:06.000Z,,,,,,,,,,,,,,,,
Costco,"One report of an offer on hold
",Hiring,2020-03-28T21:54:02.000Z,https://www.costco.com/job-opportunities.html#office,,,,,,,,,,,,,,,
cotiviti,"
",Hiring,2020-04-08T12:50:48.000Z,,,,,,,,,,,,,,,,
Coty,,"Hiring  freeze,Hiring",2020-04-03T23:06:50.000Z,,,,,,,,,,,,,,,,
Couchbase,"Some roles pulled, but roles across all orgs hiring
",Hiring,2020-04-09T20:24:51.000Z,,,,,,,,,,,,,,,,
Country Financial,"
",Hiring,2020-04-02T22:49:52.000Z,,,,,,,,,,,,,,,,
County of Riverside,"DPSS
",Hiring  freeze,2020-04-10T16:11:09.000Z,,,,,,,,,,,,,,,,
County of Roanoke ,"
",Hiring,2020-04-08T12:50:17.000Z,,,,,,,,,,,,,,,,
Coupa,"hiring across all functions worldwide
",Hiring,2020-04-03T20:45:54.000Z,www.coupa.jobs ,,,,,,,,,,,,,,,
Coupang,"Software engineer Internship
",Hiring,2020-04-07T18:26:15.000Z,,,,,,,,,,,,,,,,
CourseHero,"Company rep reached out with the following ""hiring right now across several teams - Engineering, Data Science, People Operations, Product Design etc.""
",Hiring,2020-03-31T04:43:06.000Z,https://www.coursehero.com/jobs/,,,,,,,,,,,,,,,
Coursera,"Continuing hiring strong
",Hiring,2020-04-03T18:01:25.000Z,https://about.coursera.org/careers/,,,,,,,,,,,,,,,
Covance ,"Q
",Hiring  freeze,2020-04-07T23:52:33.000Z,,,,,,,,,,,,,,,,
Coventry ,"
",Hiring  freeze,2020-04-08T12:50:08.000Z,,,,,,,,,,,,,,,,
Coveo,,Hiring,2020-03-29T16:29:29.000Z,https://www.coveo.com/en/company/careers/open-positions#t=career-search,,,,,,,,,,,,,,,
Cover,"DevOps
",Hiring,2020-04-02T22:20:35.000Z,,,,,,,,,,,,,,,,
Cover Genius,"email received from HR Manager saying ""Unfortunately due to the coronavirus pandemic and the resultant market turmoil there is a pause on hiring at Cover Genius""""
",Hiring  freeze,2020-04-06T18:26:04.000Z,,,,,,,,,,,,,,,,
CoverWallet,"
",Hiring,2020-04-04T18:32:31.000Z,,,,,,,,,,,,,,,,
Covestro,"
",Hiring,2020-04-08T12:49:50.000Z,,,,,,,,,,,,,,,,
Cox Automotive,1 report of hiring,"Hiring  freeze,Hiring",2020-04-06T17:54:34.000Z,https://jobs.coxenterprises.com/job-search-results/,,,,,,,,,,,,,,,
Cox communications ,"Got an internship offer 
",Hiring,2020-04-04T18:12:50.000Z,,,,,,,,,,,,,,,,
Coyote Logistics,"
",Hiring,2020-04-02T23:43:22.000Z,,,,,,,,,,,,,,,,
cPanel,"
",Hiring,2020-04-03T17:10:11.000Z,https://job.listings.cpanel.net/,,,,,,,,,,,,,,,
CRA,"
",Hiring,2020-04-06T17:26:43.000Z,,,,,,,,,,,,,,,,
Cracker Barrel,"Still Interviewing, offers delayed, but not rescinded
","Hiring  freeze,Hiring",2020-04-03T16:12:10.000Z,,,,,,,,,,,,,,,,
Crackle Plus,"hiring, anyone for streaming video
",Hiring,2020-04-03T18:52:42.000Z,,,,,,,,,,,,,,,,
cradlepoint,"
",Hiring  freeze,2020-04-08T12:49:26.000Z,,,,,,,,,,,,,,,,
Crane Worldwide Logistics,"30% salary cuts across everyone
",Hiring,2020-04-03T20:39:02.000Z,,,,,,,,,,,,,,,,
Crash.co,"Helping early-career job seekers win roles at startups that are actively hiring!
",Hiring  freeze,2020-04-08T12:49:06.000Z,,,,,,,,,,,,,,,,
Crawford & Company,"
",Hiring  freeze,2020-04-08T12:48:12.000Z,,,,,,,,,,,,,,,,
Crayola,"Layoffs may be starting next week
",Hiring  freeze,2020-04-04T17:58:56.000Z,,,,,,,,,,,,,,,,
Crazybee,"
",Hiring,2020-04-10T16:21:40.000Z,,,,,,,,,,,,,,,,
CRB ,"
",Hiring,2020-04-05T15:14:39.000Z,,,,,,,,,,,,,,,,
Creative Financial Staffing,"Will hire proven Sales performers
",Hiring,2020-04-03T16:13:16.000Z,,,,,,,,,,,,,,,,
Cred,"
",Hiring,2020-04-04T14:41:26.000Z,,,,,,,,,,,,,,,,
CredFIC Tech,"Company-wide
",Hiring  freeze,2020-04-08T12:47:43.000Z,,,,,,,,,,,,,,,,
Credible,"Hiring across multiple teams
",Hiring,2020-04-10T16:22:44.000Z,,,,,,,,,,,,,,,,
Credit ,"
",Hiring,2020-04-09T23:57:43.000Z,,,,,,,,,,,,,,,,
Credit Acceptance Corporation,"Analytics 
",Hiring,2020-04-09T23:57:58.000Z,,,,,,,,,,,,,,,,
Credit Karma," Information presented live by CEO to all permanent employees worldwide at all hands 27 March
",Hiring  freeze,2020-03-29T03:30:12.000Z,https://www.creditkarma.com/careers/,,,,,,,,,,,,,,,
Credit mutuel ,"
",Hiring,2020-04-07T16:16:15.000Z,,,,,,,,,,,,,,,,
Credit One Bank,"
",Hiring,2020-04-06T16:38:29.000Z,,,,,,,,,,,,,,,,
Credit Suisse,"Multiple reports of hiring and a hiring freeze. See below:
Hiring:","Hiring  freeze,Hiring",2020-04-08T12:46:46.000Z,,,,,,,,,,,,,,,,
CreditNinja,"Multiple reports
",Hiring  freeze,2020-04-10T16:22:59.000Z,,,,,,,,,,,,,,,,
Credo Beauty,"
",Hiring  freeze,2020-04-08T12:46:32.000Z,,,,,,,,,,,,,,,,
CredSimple,"Product, Eng, Ops, Sales
",Hiring,2020-04-06T20:11:17.000Z,,,,,,,,,,,,,,,,
Creek,"
",Hiring,2020-04-08T16:35:26.000Z,,,,,,,,,,,,,,,,
CREO Solutions,"
",Hiring,2020-04-02T22:33:40.000Z,,,,,,,,,,,,,,,,
Cresta,"
",Hiring,2020-04-03T21:06:51.000Z,,,,,,,,,,,,,,,,
Crew,"Candidate was told during interview
",Hiring  freeze,2020-03-29T01:39:05.000Z,https://crewapp.com/jobs,,,,,,,,,,,,,,,
Cricket Health,"
",Hiring,2020-04-02T05:20:04.000Z,,,,,,,,,,,,,,,,
Cricket wireless,"
",Hiring,2020-04-10T16:23:11.000Z,,,,,,,,,,,,,,,,
Cricut,,Hiring  freeze,2020-04-08T12:44:37.000Z,,,,,,,,,,,,,,,,
Crinetics,"
",Hiring,2020-04-03T16:51:18.000Z,,,,,,,,,,,,,,,,
Crisil,,Hiring,2020-03-29T11:45:20.000Z,https://careers.crisil.com/content/Jobs/?locale=en_GB,,,,,,,,,,,,,,,
Crisis Text Line,"
",Hiring,2020-04-07T19:34:58.000Z,,,,,,,,,,,,,,,,
Criteo,"
",Hiring  freeze,2020-04-08T12:43:32.000Z,,,,,,,,,,,,,,,,
Critical Mass,"
",Hiring,2020-04-07T23:35:37.000Z,,,,,,,,,,,,,,,,
"Critical Software, SA","
",Hiring,2020-04-04T21:31:27.000Z,,,,,,,,,,,,,,,,
CRITICALSTART,,Hiring,2020-03-31T16:39:06.000Z,https://www.criticalstart.com/about/#careers,,,,,,,,,,,,,,,
Crocs,"Crocs sent me a mail saying position is on house roles
1 report of hiring freeze in product roles (4/2)",Hiring  freeze,2020-04-06T17:34:47.000Z,,,,,,,,,,,,,,,,
Crook & Marker,"sales
",Hiring,2020-04-03T16:31:52.000Z,,,,,,,,,,,,,,,,
Crosschq,"one report of hiring
",Hiring,2020-03-29T14:42:48.000Z,,,,,,,,,,,,,,,,
Crossix,"Hiring for essential roles
1 report of hiring across the board",Hiring,2020-04-04T21:33:07.000Z,,,,,,,,,,,,,,,,
Crossix Solutions,"Hiring across board.
",Hiring,2020-04-07T16:05:17.000Z,,,,,,,,,,,,,,,,
Crossword Cybersecurity,"
",Hiring  freeze,2020-03-31T22:01:06.000Z,,,,,,,,,,,,,,,,
CrowdStreet,"
","Hiring,Hiring  freeze",2020-04-03T23:49:25.000Z,https://www.crowdstreet.com/careers/,,,,,,,,,,,,,,,
"CrowdStrike, Inc.","Engineering is hiring.
",Hiring,2020-04-04T18:18:55.000Z,,,,,,,,,,,,,,,,
Crowe,"
",Hiring,2020-04-03T17:34:10.000Z,,,,,,,,,,,,,,,,
Crown Castle,"
",Hiring  freeze,2020-04-10T16:23:26.000Z,,,,,,,,,,,,,,,,
Cruise,"Reports of hiring, a hiring freeze, and claims of layoffs. See below: 
Hiring:","Hiring,Hiring  freeze,Layoffs",2020-04-09T20:24:16.000Z,https://www.getcruise.com/careers/,,,,,,,,,,,,,,,
Crunchbase,"Someone sent us email proof of a hiring freeze. Looks like Crunchbase is continuing to hire for essential roles. There is 1 report of a rescinded offer
","Offers rescinded,Hiring  freeze",2020-03-29T14:42:59.000Z,https://about.crunchbase.com/about-us/careers-2/,,,,,,,,,,,,,,,
Crunchyroll,"Senior Software Engineering Roles are still open
",Hiring,2020-04-03T20:49:26.000Z,,,,,,,,,,,,,,,,
Crypto.com,"
",Hiring,2020-04-02T23:04:58.000Z,https://www.linkedin.com/company/cryptocom/jobs/,,,,,,,,,,,,,,,
