,name, market ,funding_total_usd,status,funding_rounds,seed,venture,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,HiringStatus,company_age
0,1010data, Software ,35000000.00,operating,1,0,35000000,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,1,20
1,15Five, Software ,3400000.00,operating,3,2200000,0,0,0,0,1200000,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,9
2,1stdibs, E-Commerce ,117000000.00,operating,4,0,57000000,60000000,0,0,0,0,0,0,0,0,0,0.00,0.00,15000000.00,0.00,0,0,0,0,0,19
3,23andMe, Biotechnology ,111949900.00,operating,6,0,110549900,0,0,0,0,1400000,0,0,0,0,0,9000000.00,12600000.00,31000000.00,57949900.00,0,0,0,0,0,14
4,2U, Software ,95875000.00,operating,6,2275000,93600000,0,0,0,0,0,0,0,0,0,0,10000000.00,20000000.00,32500000.00,31100000.00,0,0,0,0,0,12
5,3Play Media, Software ,1011601.00,operating,3,50000,961601,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,1,13
6,99.co, Local Businesses ,560000.00,operating,1,560000,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,1,
7,ABB, Technology ,2700000.00,operating,1,0,0,0,0,0,0,2700000,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,32
8,ABS, Health Care ,132500.00,operating,1,0,132500,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,11
9,Academia.edu, Social Media ,17800000.00,operating,4,600000,15600000,0,0,0,1600000,0,0,0,0,0,0,4500000.00,11100000.00,0.00,0.00,0,0,0,0,0,12
10,Accela, Software ,50000000.00,operating,2,0,50000000,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,1,21
11,Accruent, Enterprise Software ,32000000.00,operating,2,0,32000000,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,25
12,Aceable, Technical Continuing Education ,,operating,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,1,
13,Acorns, Apps ,8960000.00,operating,3,300000,8660000,0,0,0,0,0,0,0,0,0,0,2500000.00,6160000.00,0.00,0.00,0,0,0,0,1,8
14,Acquia, Enterprise Software ,118500000.00,operating,7,0,118500000,0,0,0,0,0,0,0,0,0,0,7000000.00,8000000.00,8500000.00,15000000.00,30000000,50000000,0,0,0,13
15,Acumen, Video ,,operating,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,
16,Adaptive Biotechnologies, Bio-Pharm ,112499480.00,operating,3,0,109999480,0,0,0,0,2500000,0,0,0,0,0,0.00,0.00,5000000.00,104999480.00,0,0,0,0,1,11
17,Addepar, SaaS ,65839694.00,operating,2,0,65839694,0,0,0,0,0,0,0,0,0,0,15839694.00,50000000.00,0.00,0.00,0,0,0,0,1,11
18,ADP, Outsourcing ,2000000.00,operating,1,0,2000000,0,0,0,0,0,0,0,0,0,0,0.00,0.00,2000000.00,0.00,0,0,0,0,1,71
19,Adyen, E-Commerce ,16000000.00,operating,1,0,16000000,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,1,14
20,Affirm, Finance Technology ,45000000.00,operating,1,0,45000000,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,
21,Affirmed Networks, Mobile ,116990000.00,operating,5,0,116990000,0,0,0,0,0,0,0,0,0,0,10890000.00,52000000.00,51000000.00,0.00,0,0,0,0,0,10
22,Agenus, Biotechnology ,15000000.00,operating,2,0,10000000,0,0,5000000,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,26
23,Airbnb, Travel ,794820000.00,operating,6,620000,794200000,0,0,0,0,0,0,0,0,0,0,7200000.00,112000000.00,200000000.00,475000000.00,0,0,0,0,0,12
24,Airtasker, Mobile ,3380000.00,operating,2,2000000,0,0,0,0,1380000,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,8
25,Alarm.com, Internet of Things ,136000000.00,operating,1,0,0,0,0,0,0,0,136000000,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,1,20
26,Alert Logic, Cloud Security ,51311845.00,operating,8,0,51311845,0,0,0,0,0,0,0,0,0,0,2300000.00,5000000.00,8250000.00,3514990.00,12600000,12200000,0,0,0,18
27,Alibaba, E-Commerce ,1112000000.00,operating,4,0,0,0,0,0,5000000,0,1107000000,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,1,21
28,Align Technology, Health Care ,72299357.00,operating,1,0,72299357,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,
29,All Web Leads, Insurance ,5000000.00,operating,1,0,5000000,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,1,15
30,AlphaSights, Consulting ,,operating,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,1,11
31,Amazon, Consumer Goods ,8000000.00,operating,1,0,8000000,0,0,0,0,0,0,0,0,0,0,8000000.00,0.00,0.00,0.00,0,0,0,0,0,26
32,Ambarella, Broadcasting ,15400000.00,operating,1,0,15400000,0,0,0,0,0,0,0,0,0,0,0.00,0.00,15400000.00,0.00,0,0,0,0,0,16
33,Amgen, Biotechnology ,175463420.00,operating,1,0,175463420,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,35
34,Amobee, Advertising ,72000000.00,acquired,6,0,72000000,0,0,0,0,0,0,0,0,0,0,5000000.00,27000000.00,22000000.00,18000000.00,0,0,0,0,1,15
35,Amplitude, SaaS ,2000000.00,operating,2,2000000,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,
